wavelength(nm) ph/sec/arcsec^2/um/m^2
500 145.448
500.025001 145.38
500.050003 145.313
500.075006 145.246
500.10001 145.178
500.125016 145.088
500.150023 145.043
500.175031 144.976
500.20004 144.906
500.225051 144.839
500.250063 144.769
500.275076 144.698
500.30009 144.615
500.325106 144.557
500.350123 144.486
500.375141 144.415
500.40016 144.338
500.425181 144.28
500.450203 144.212
500.475226 144.145
500.50025 144.077
500.525276 144.01
500.550303 143.942
500.575331 178.318
500.60036 143.807
500.625391 143.74
500.650423 143.689
500.675456 143.662
500.70049 143.634
500.725526 143.607
500.750563 143.58
500.775601 143.553
500.80064 143.526
500.825681 143.499
500.850723 143.471
500.875766 143.444
500.90081 143.417
500.925856 143.39
500.950903 143.363
500.975951 143.335
501.001001 143.299
501.026051 143.281
501.051103 143.21
501.076156 143.226
501.101211 143.199
501.126267 143.159
501.151324 143.145
501.176382 143.117
501.201441 143.09
501.226502 143.063
501.251564 143.036
501.276627 143.008
501.301691 142.971
501.326757 142.954
501.351824 142.927
501.376892 142.881
501.401962 142.845
501.427033 142.805
501.452105 142.81
501.477178 142.786
501.502252 142.734
501.527328 142.723
501.552405 142.687
501.577483 142.665
501.602563 142.653
501.627643 142.605
501.652725 142.616
501.677809 142.676
501.702893 142.725
501.727979 142.726
501.753066 142.819
501.778154 142.87
501.803244 142.859
501.828335 142.961
501.853427 142.918
501.87852 143.052
501.903615 143.1
501.92871 143.148
501.953807 143.184
501.978906 143.245
502.004005 143.204
502.029106 143.342
502.054208 143.335
502.079312 143.303
502.104416 143.467
502.129522 143.536
502.154629 143.58
502.179737 143.55
502.204847 143.673
502.229958 143.73
502.25507 143.779
502.280183 143.827
502.305298 143.876
502.330414 143.913
502.355531 143.973
502.38065 144.022
502.405769 144.07
502.43089 144.119
502.456012 144.167
502.481136 144.215
502.50626 144.265
502.531386 144.313
502.556514 144.331
502.581642 144.296
502.606772 144.346
502.631903 144.508
502.657035 144.539
502.682168 144.563
502.707303 144.586
502.732439 144.482
502.757576 144.436
502.782715 144.657
502.807855 144.68
502.832996 144.704
502.858138 144.727
502.883281 144.751
502.908426 144.774
502.933572 144.798
502.95872 144.721
502.983868 144.659
503.009018 144.627
503.034169 144.678
503.059321 144.841
503.084475 144.582
503.10963 144.956
503.134786 144.997
503.159943 145.024
503.185102 145.039
503.210262 145.068
503.235423 145.08
503.260585 144.969
503.285749 145.099
503.310914 145.173
503.33608 145.197
503.361248 145.22
503.386416 145.229
503.411586 145.151
503.436757 145.199
503.46193 145.233
503.487104 145.325
503.512279 145.347
503.537455 145.235
503.562632 145.064
503.587811 144.812
503.612991 144.988
503.638172 145.377
503.663355 145.107
503.688539 145.003
503.713724 144.755
503.73891 145.297
503.764098 144.998
503.789287 145.194
503.814477 145.178
503.839668 145.148
503.864861 144.373
503.890054 144.899
503.91525 144.035
503.940446 144.968
503.965644 144.573
503.990843 144.885
504.016043 144.664
504.041244 144.727
504.066447 144.823
