wavelength(nm) transmission
500 0.810787
500.025001 0.810796
500.050003 0.810805
500.075006 0.810814
500.10001 0.810823
500.125016 0.810702
500.150023 0.81084
500.175031 0.810849
500.20004 0.810842
500.225051 0.810855
500.250063 0.810847
500.275076 0.810837
500.30009 0.810757
500.325106 0.810818
500.350123 0.810809
500.375141 0.810799
500.40016 0.810754
500.425181 0.810815
500.450203 0.810823
500.475226 0.810832
500.50025 0.810841
500.525276 0.81085
500.550303 0.810859
500.575331 0.810867
500.60036 0.810876
500.625391 0.810885
500.650423 0.810894
500.675456 0.810902
500.70049 0.810908
500.725526 0.81092
500.750563 0.810929
500.775601 0.810937
500.80064 0.810946
500.825681 0.810955
500.850723 0.810963
500.875766 0.810972
500.90081 0.810981
500.925856 0.810989
500.950903 0.810998
500.975951 0.811007
501.001001 0.810963
501.026051 0.811024
501.051103 0.810784
501.076156 0.811041
501.101211 0.81105
501.126267 0.810982
501.151324 0.811067
501.176382 0.811076
501.201441 0.811085
501.226502 0.811093
501.251564 0.811102
501.276627 0.81111
501.301691 0.811063
501.326757 0.811128
501.351824 0.811136
501.376892 0.81104
501.401962 0.810998
501.427033 0.810937
501.452105 0.81113
501.477178 0.811153
501.502252 0.811019
501.527328 0.811127
501.552405 0.811085
501.577483 0.81112
501.602563 0.811216
501.627643 0.81111
501.652725 0.811114
501.677809 0.811192
501.702893 0.811203
501.727979 0.810938
501.753066 0.811207
501.778154 0.811228
501.803244 0.810896
501.828335 0.811209
501.853427 0.810694
501.87852 0.811194
501.903615 0.8112
501.92871 0.811209
501.953807 0.811144
501.978906 0.811223
502.004005 0.81072
502.029106 0.811242
502.054208 0.810931
502.079312 0.81048
502.104416 0.811147
502.129522 0.811276
502.154629 0.811257
502.179737 0.81082
502.204847 0.811249
502.229958 0.81131
502.25507 0.811318
502.280183 0.811327
502.305298 0.811335
502.330414 0.811277
502.355531 0.811352
502.38065 0.81136
502.405769 0.811368
502.43089 0.811377
502.456012 0.811385
502.481136 0.811386
502.50626 0.811402
502.531386 0.81141
502.556514 0.811244
502.581642 0.810778
502.606772 0.810796
502.631903 0.811444
502.657035 0.811452
502.682168 0.81146
502.707303 0.811468
502.732439 0.810754
502.757576 0.810366
502.782715 0.811493
502.807855 0.811502
502.832996 0.81151
502.858138 0.811518
502.883281 0.811526
502.908426 0.811535
502.933572 0.811543
502.95872 0.810984
502.983868 0.810504
503.009018 0.810197
503.034169 0.810365
503.059321 0.811159
503.084475 0.809573
503.10963 0.811564
503.134786 0.811668
503.159943 0.811695
503.185102 0.811658
503.210262 0.811698
503.235423 0.811639
503.260585 0.810883
503.285749 0.811493
503.310914 0.811789
503.33608 0.811797
503.361248 0.811805
503.386416 0.811727
503.411586 0.811164
503.436757 0.811307
